post_id,text,sentiment,sentiment_label,timestamp,user,platform,hashtags,retweets,likes,country,year,month,day,hour
55, Heartbroken after hearing the news about a natural disaster. , Sadness      ,Neutral,2023-02-12 14:45:00.000000 UTC, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25,50, India      ,2023,2,12,14
56, The state of the world's environment is just disgusting. , Disgust      ,Negative,2023-02-12 18:20:00.000000 UTC, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18,35, UK         ,2023,2,12,18
57, Pure happiness: celebrating a loved one's achievement! , Happiness    ,Positive,2023-02-13 10:00:00.000000 UTC, ProudFriend     , Instagram , #Happiness #Celebration                   ,30,60, USA ,2023,2,13,10
58, Laughter is the best medicine—enjoying a comedy show. , Joy          ,Positive,2023-02-13 19:30:00.000000 UTC, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22,45, Canada    ,2023,2,13,19
59, Sharing love and positive vibes with everyone! ❤️      , Love         ,Positive,2023-02-14 08:30:00.000000 UTC, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,14,8
60, An amusing incident brightened up my day!               , Amusement    ,Neutral,2023-02-14 14:20:00.000000 UTC, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18,35, UK           ,2023,2,14,14
61, Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,Positive,2023-02-14 19:45:00.000000 UTC, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25,50, Canada       ,2023,2,14,19
62, Admiring the beauty of nature during a peaceful hike.   , Admiration   ,Positive,2023-02-15 11:30:00.000000 UTC, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20,40, USA       ,2023,2,15,11
63, Sending affectionate vibes to all my followers!          , Affection    ,Positive,2023-02-15 16:00:00.000000 UTC, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15,30,USA,2023,2,15,16
64, Experiencing awe at the breathtaking sunset.            , Awe          ,Neutral,2023-02-15 20:30:00.000000 UTC, AweStruck       , Facebook , #Awe #Breathtaking                          ,22,45, Australia   ,2023,2,15,20
65, Disappointed with the service at a local restaurant.    , Disappointed ,Neutral,2023-02-16 09:00:00.000000 UTC, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18,35, India      ,2023,2,16,9
66, A surprise gift from a friend made my day!              , Surprise     ,Neutral,2023-02-16 14:45:00.000000 UTC, HappySurprise   , Instagram , #Surprise #Gift                              ,25,50, USA          ,2023,2,16,14
67, Finding acceptance in the midst of life's challenges.   , Acceptance   ,Neutral,2023-02-16 18:20:00.000000 UTC, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15,30, Canada     ,2023,2,16,18
68, Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,Neutral,2023-02-17 10:45:00.000000 UTC, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22,45, UK        ,2023,2,17,10
69, Anticipating a thrilling adventure in the coming weeks. , Anticipation ,Neutral,2023-02-17 07:30:00.000000 UTC, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20,40,USA,2023,2,17,7
70, A bitter experience turned into a valuable lesson.      , Bitter       ,Neutral,2023-02-17 15:00:00.000000 UTC, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18,35, USA       ,2023,2,17,15
71, Finding calmness in the midst of a busy day.            , Calmness     ,Neutral,2023-02-18 09:30:00.000000 UTC, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15,30, India     ,2023,2,18,9
72, Confusion clouds my mind as I navigate through decisions., Confusion    ,Negative,2023-02-18 14:20:00.000000 UTC, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25,50, UK   ,2023,2,18,14
73, Excitement building up for the upcoming vacation!       , Excitement   ,Positive,2023-02-18 18:45:00.000000 UTC, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22,45, Canada    ,2023,2,18,18
74, Kindness witnessed today restored my faith in humanity. , Kind         ,Neutral,2023-02-19 11:30:00.000000 UTC, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20,40, USA       ,2023,2,19,11
75, Pride in achieving a personal milestone.               , Pride        ,Positive,2023-02-19 16:00:00.000000 UTC, PersonalAchiever, Instagram , #Pride #Milestone                           ,30,60, Australia    ,2023,2,19,16
76, A moment of shame for not standing up against injustice. , Shame        ,Negative,2023-02-19 19:45:00.000000 UTC, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15,30, India      ,2023,2,19,19
77, Fuming with anger after a heated argument.            , Anger        ,Negative,2023-02-20 09:30:00.000000 UTC, AngryDebater    , Twitter  , #Anger #Argument                             ,20,40, Canada     ,2023,2,20,9
78, The fear of the unknown is keeping me up at night.    , Fear         ,Neutral,2023-02-20 21:15:00.000000 UTC, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15,30, USA          ,2023,2,20,21
79, Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,Neutral,2023-02-21 14:45:00.000000 UTC, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25,50, India      ,2023,2,21,14
80, The state of corruption in our society is utterly disgusting. , Disgust      ,Negative,2023-02-21 18:20:00.000000 UTC, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18,35, UK         ,2023,2,21,18
81, Overflowing happiness: welcoming a new family member!  , Happiness    ,Positive,2023-02-22 10:00:00.000000 UTC, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30,60, UK           ,2023,2,22,10
82, Laughter is the key to joy—attending a stand-up comedy show. , Joy          ,Positive,2023-02-22 19:30:00.000000 UTC, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22,45, Canada    ,2023,2,22,19
83, Sending love to all my followers on this beautiful day! ❤️ , Love         ,Positive,2023-02-23 08:30:00.000000 UTC, LoveSender      , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,23,8
84, Amused by the antics of my pet—it's pure amusement!      , Amusement    ,Neutral,2023-02-23 14:20:00.000000 UTC, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18,35, UK           ,2023,2,23,14
85, Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    ,Positive,2023-02-23 19:45:00.000000 UTC, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25,50, USA ,2023,2,23,19
86, Admiring the dedication of volunteers at a local charity. , Admiration   ,Positive,2023-02-24 11:30:00.000000 UTC, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20,40, USA        ,2023,2,24,11
87, Sending affectionate vibes to friends and family.        , Affection    ,Positive,2023-02-24 16:00:00.000000 UTC, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15,30,USA,2023,2,24,16
88, Awe-struck by the beauty of the night sky.               , Awe          ,Neutral,2023-02-24 20:30:00.000000 UTC, Stargazer       , Facebook , #Awe #StarryNight                        ,22,45, Australia ,2023,2,24,20
89, Disappointed with the lack of progress in a personal project. , Disappointed ,Neutral,2023-02-25 09:00:00.000000 UTC, ProjectStruggle , Twitter  , #Disappointed #Project                     ,18,35, India      ,2023,2,25,9
90, A surprise visit from an old friend brought tears of joy. , Surprise     ,Neutral,2023-02-25 14:45:00.000000 UTC, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25,50, USA          ,2023,2,25,14
91, Embracing acceptance of life's ups and downs.           , Acceptance   ,Neutral,2023-02-25 18:20:00.000000 UTC, LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15,30, Canada     ,2023,2,25,18
92, Overflowing adoration for a cute rescue puppy! 🐶       , Adoration    ,Neutral,2023-02-26 10:45:00.000000 UTC, PuppyAdmirer    , Twitter  , #Adoration #PuppyLove                       ,22,45, UK         ,2023,2,26,10
93, Anticipating the release of a much-awaited movie.       , Anticipation ,Neutral,2023-02-26 07:30:00.000000 UTC, MovieBuff2      , Instagram , #Anticipation #MovieRelease                 ,20,40, Australia    ,2023,2,26,7
94, Bitter experience at the customer service department.   , Bitter       ,Neutral,2023-02-26 15:00:00.000000 UTC, CustomerWoes    , Facebook , #BitterExperience #CustomerService         ,18,35, USA       ,2023,2,26,15
95, Finding calmness amidst the chaos of daily life.        , Calmness     ,Neutral,2023-02-27 09:30:00.000000 UTC, CalmSoul        , Twitter  , #Calmness #InnerPeace                      ,15,30, India     ,2023,2,27,9
96, Confusion reigns as I try to make sense of recent events., Confusion    ,Negative,2023-02-27 14:20:00.000000 UTC, ConfusedMind2   , Instagram , #Confusion #MakingSense                    ,25,50, UK   ,2023,2,27,14
97, Excitement building up for a surprise birthday party.   , Excitement   ,Positive,2023-02-27 18:45:00.000000 UTC, BirthdayExcite  , Facebook , #Excitement #SurpriseParty                 ,22,45, Canada ,2023,2,27,18
98, Witnessed an act of kindness that made my day.          , Kind         ,Neutral,2023-02-28 11:30:00.000000 UTC, KindnessObserver, Twitter  , #Kindness #ActsOfKindness                  ,20,40, USA       ,2023,2,28,11
99, Pride in completing a challenging fitness challenge.    , Pride        ,Positive,2023-02-28 16:00:00.000000 UTC, FitAchiever     , Instagram , #Pride #FitnessChallengeCompleted          ,30,60, UK            ,2023,2,28,16
100, A moment of shame for not speaking up against injustice., Shame        ,Negative,2023-02-28 19:45:00.000000 UTC, ReflectiveSelf2 , Facebook , #Shame #Injustice                           ,15,30, India     ,2023,2,28,19
101, Reflecting on the beauty of diversity in our world.     , Acceptance   ,Neutral,2023-03-01 10:45:00.000000 UTC, DiversityLover  , Twitter  , #Acceptance #Diversity                      ,22,45, Australia ,2023,3,1,10
102, Excitement for a quiet evening with a good book.        , Excitement   ,Positive,2023-03-01 13:30:00.000000 UTC, BookwormJoy     , Instagram , #Excitement #BookTime                       ,18,35, USA          ,2023,3,1,13
103, Feeling bitter about the unfairness in the workplace.   , Bitter       ,Neutral,2023-03-01 17:45:00.000000 UTC, WorkplaceWoes   , Twitter  , #Bitter #Unfairness                         ,15,30, Canada    ,2023,3,1,17
104, Calmness prevails as I practice mindfulness.            , Calmness     ,Neutral,2023-03-02 18:00:00.000000 UTC, MindfulMe       , Facebook , #Calmness #Mindfulness                      ,15,30, UK        ,2023,3,2,18
105, Confusion surrounds me as I navigate through life's choices. , Confusion ,Negative,2023-03-02 13:15:00.000000 UTC, ConfusedMind3   , Instagram , #Confusion #LifeChoices                     ,30,60, USA   ,2023,3,2,13
106, Excitement for a weekend road trip to explore new places. , Excitement ,Positive,2023-03-02 16:45:00.000000 UTC, RoadTripper2    , Twitter  , #Excitement #WeekendAdventure               ,25,50, India     ,2023,3,2,16
107, Kindness witnessed today restores my faith in humanity.  , Kind         ,Neutral,2023-03-03 11:30:00.000000 UTC, KindnessPrevails2, Facebook , #Kindness #HumanityRestored                 ,22,45, USA       ,2023,3,3,11
108, Pride in accomplishing personal and professional goals.  , Pride        ,Positive,2023-03-03 14:30:00.000000 UTC, GoalAchiever    , Instagram , #Pride #Accomplishments                     ,12,25, Canada ,2023,3,3,14
109, Shame for not being true to my values in a difficult situation., Shame ,Negative,2023-03-03 12:00:00.000000 UTC, ReflectiveSelf3 , Twitter  , #Shame #Integrity                           ,15,30, UK        ,2023,3,3,12
110," Revisiting old memories, feeling a sense of elation. ", Elation       ,Neutral,2010-05-15 15:30:00.000000 UTC, NostalgiaFan    , Twitter  , #Elation #Memories                             ,20,40, Canada    ,2010,5,15,15
111, The victory of our team brought euphoria to the city. , Euphoria      ,Positive,2021-08-10 21:15:00.000000 UTC, SportsFanatic   , Instagram , #Euphoria #Victory                             ,15,30, USA      ,2021,8,10,21
112," Embracing the beauty of nature, a moment of contentment. ", Contentment   ,Neutral,2011-06-20 14:45:00.000000 UTC, NatureLover2    , Facebook , #Contentment #Nature                           ,25,50, India       ,2011,6,20,14
113," Meditating by the serene lake, finding inner peace.   ", Serenity      ,Positive,2022-02-12 18:20:00.000000 UTC, ZenMaster2      , Twitter  , #Serenity #Meditation                          ,18,35, UK          ,2022,2,12,18
114, Overflowing with gratitude for life's blessings.      , Gratitude     ,Positive,2012-11-25 10:00:00.000000 UTC, ThankfulHeart   , Instagram , #Gratitude #Blessed                            ,30,60, Australia   ,2012,11,25,10
115," Hopeful for a brighter tomorrow, despite challenges.  ", Hope          ,Neutral,2013-04-05 19:30:00.000000 UTC, OptimisticSoul  , Facebook , #Hope #Optimism                                ,22,45, USA      ,2013,4,5,19
116, Empowered to make a difference in my community.        , Empowerment   ,Neutral,2014-09-14 08:30:00.000000 UTC, CommunityLeader , Twitter  , #Empowerment #Community                        ,15,30, UK       ,2014,9,14,8
117, Compassion in action: supporting a local charity event. , Compassion    ,Neutral,2015-07-18 14:20:00.000000 UTC, CharitySupporter, Instagram , #Compassion #CharityEvent                   ,18,35, Canada ,2015,7,18,14
118," A moment of tenderness, connecting with loved ones.    ", Tenderness    ,Positive,2016-02-23 19:45:00.000000 UTC, LovingHeart     , Facebook , #Tenderness #FamilyTime                       ,25,50, UK          ,2016,2,23,19
119, Arousal of excitement as I await a special announcement., Arousal       ,Neutral,2017-10-30 11:30:00.000000 UTC, ExcitementFan   , Twitter  , #Arousal #Excitement                           ,20,40, Australia ,2017,10,30,11
120, Enthusiastically diving into a new project.            , Enthusiasm    ,Positive,2018-06-15 16:00:00.000000 UTC, ProjectEnthusiast, Instagram , #Enthusiasm #NewProject                       ,15,30, USA  ,2018,6,15,16
121, Feeling a sense of fulfillment after reaching a milestone., Fulfillment  ,Positive,2019-03-28 18:20:00.000000 UTC, MilestoneAchiever, Facebook , #Fulfillment #Milestone                       ,22,45, India     ,2019,3,28,18
122, Reverence for the beauty of a historic landmark.       , Reverence     ,Positive,2019-11-11 15:00:00.000000 UTC, HistoryLover    , Twitter  , #Reverence #History                           ,18,35, UK      ,2019,11,11,15
123, Elation after a surprise reunion with old friends.    , Elation       ,Neutral,2020-04-02 09:30:00.000000 UTC, JoyfulReunion2  , Instagram , #Elation #OldFriends                          ,25,50, Canada      ,2020,4,2,9
124, The euphoria of a live music concert under the stars.  , Euphoria      ,Positive,2021-06-19 14:45:00.000000 UTC, MusicEnthusiast , Facebook , #Euphoria #LiveMusic                          ,15,30, USA ,2021,6,19,14
125, Contentment in the simplicity of a quiet Sunday.       , Contentment   ,Neutral,2010-08-15 10:00:00.000000 UTC, SimpleJoys      , Twitter  , #Contentment #SundayMood                      ,30,60, Australia ,2010,8,15,10
126, Serenity found in the pages of a favorite book.        , Serenity      ,Positive,2011-09-22 19:30:00.000000 UTC, BookLover3      , Instagram , #Serenity #BookTime                           ,22,45, UK          ,2011,9,22,19
127, Gratitude for the support received during tough times. , Gratitude     ,Positive,2012-03-10 08:30:00.000000 UTC, SupportiveFriend, Facebook , #Gratitude #Supportive                        ,15,30, India     ,2012,3,10,8
128, Hopeful about the possibilities of a new journey.      , Hope          ,Neutral,2013-12-05 16:00:00.000000 UTC, JourneyOptimist , Twitter  , #Hope #NewBeginnings                          ,18,35, Canada    ,2013,12,5,16
129, Empowerment through learning and personal growth.      , Empowerment   ,Neutral,2014-07-20 11:30:00.000000 UTC, GrowthSeeker    , Instagram , #Empowerment #PersonalGrowth                  ,25,50,USA,2014,7,20,11
130, Compassion towards those in need during the holidays.  , Compassion    ,Neutral,2015-12-22 14:20:00.000000 UTC, HolidayHelper   , Facebook , #Compassion #HolidaySupport                   ,18,35, USA      ,2015,12,22,14
131, Tenderness in the warmth of a cozy winter evening.     , Tenderness    ,Positive,2016-02-10 19:45:00.000000 UTC, WinterWarmth    , Twitter  , #Tenderness #CozyEvening                     ,25,50, UK       ,2016,2,10,19
132, Arousal of excitement for an upcoming adventure.       , Arousal       ,Neutral,2017-04-30 11:30:00.000000 UTC, AdventureAwaits , Instagram , #Arousal #AdventureTime                       ,20,40, Australia ,2017,4,30,11
133, Enthusiasm for a creative project in the making.       , Enthusiasm    ,Positive,2018-09-15 16:00:00.000000 UTC, CreativeSpirit  , Facebook , #Enthusiasm #Creativity                       ,15,30, Canada    ,2018,9,15,16
134, Fulfillment in completing a challenging workout routine., Fulfillment  ,Positive,2019-06-28 18:20:00.000000 UTC, FitnessAchiever , Twitter  , #Fulfillment #FitnessGoals                   ,22,45, India     ,2019,6,28,18
135, Reverence for the artistry displayed in a museum.      , Reverence     ,Positive,2020-11-11 15:00:00.000000 UTC, ArtAppreciator  , Instagram , #Reverence #ArtAppreciation                  ,18,35, UK        ,2020,11,11,15
136, Elation after achieving a personal goal.               , Elation       ,Neutral,2021-03-02 09:30:00.000000 UTC, GoalAchiever2   , Facebook , #Elation #PersonalAchievement                ,25,50, USA      ,2021,3,2,9
137, Elation over discovering a hidden gem in the city.   , Elation       ,Neutral,2012-02-18 14:30:00.000000 UTC, UrbanExplorer2  , Twitter  , #Elation #HiddenGem                            ,20,40, USA      ,2012,2,18,14
138, The euphoria of a surprise birthday celebration.     , Euphoria      ,Positive,2018-11-05 21:45:00.000000 UTC, BirthdayJoy     , Instagram , #Euphoria #BirthdaySurprise                   ,15,30, UK   ,2018,11,5,21
139, Contentment in the simplicity of a home-cooked meal. , Contentment   ,Neutral,2015-09-12 13:20:00.000000 UTC, HomeChef        , Facebook , #Contentment #HomeCooking                     ,25,50, India    ,2015,9,12,13
140, Serenity found in the melody of a peaceful piano.    , Serenity      ,Positive,2016-07-30 18:10:00.000000 UTC, MusicLover4     , Twitter  , #Serenity #PeacefulMelody                    ,18,35, Canada      ,2016,7,30,18
141, Gratitude for the supportive community around me.    , Gratitude     ,Positive,2013-04-20 10:30:00.000000 UTC, CommunityLove   , Instagram , #Gratitude #CommunitySupport                   ,30,60, USA ,2013,4,20,10
